Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
429389,434938,2,2014-02-03,08:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,49
431912,434799,2,2014-02-03,19:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,28
434838,433455,1,2014-02-03,18:37:00,A,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Male,72
431912,434799,2,2014-02-03,19:50:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,31
428582,431546,2,2014-02-04,12:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,39
429539,439287,2,2014-02-04,10:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,44
432100,437000,2,2014-02-04,09:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
427984,435223,1,2014-02-04,12:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,25
424165,429365,2,2014-02-04,08:00:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Female,26
435914,438028,1,2014-02-04,10:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,78
430653,432612,1,2014-02-05,14:25:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Slight,Male,17
427320,437204,3,2014-02-05,18:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,49
427320,437204,3,2014-02-05,18:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,38
428837,434631,2,2014-02-05,18:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Serious,Male,19
431766,434944,2,2014-02-05,21:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,13
431766,434944,2,2014-02-05,21:35:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,10
426081,436902,1,2014-02-05,16:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
424274,428348,2,2014-02-06,21:10:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Female,26
430153,438719,1,2014-02-06,19:00:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,32
426711,431721,2,2014-02-06,18:11:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Slight,Male,30
430111,437531,1,2014-02-06,10:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,83
424917,434481,2,2014-02-06,08:40:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
